species
House Finch
Mourning Dove
California Scrub-Jay
Common Raven
California Towhee
Anna's Hummingbird
Black Phoebe
European Starling
Oak Titmouse
Eurasian Collared-Dove
California Quail
American Crow
Red-tailed Hawk
Song Sparrow
Cliff Swallow
Nuttall's Woodpecker
House Sparrow
Red-winged Blackbird
Mallard
Northern Mockingbird
Acorn Woodpecker
Black-headed Grosbeak
Bushtit
Spotted Towhee
Lesser Goldfinch
Ash-throated Flycatcher
American Robin
Western Wood-Pewee
Brown-headed Cowbird
Great Blue Heron
Great Egret
Western Bluebird
American Coot
Wrentit
Northern Flicker
White-breasted Nuthatch
Bewick's Wren
Pied-billed Grebe
Bullock's Oriole
Pacific-slope Flycatcher
Dark-eyed Junco
American Kestrel
California Thrasher
Snowy Egret
Common Yellowthroat
Warbling Vireo
Wilson's Warbler
Rock Pigeon
Tree Swallow
Violet-green Swallow
Yellow Warbler
House Wren
Rock Wren
Black-crowned Night-Heron
Say's Phoebe
Great-tailed Grackle
Northern Rough-winged Swallow
Band-tailed Pigeon
Green Heron
Purple Finch
Orange-crowned Warbler
Red-shouldered Hawk
Allen's Hummingbird
Hooded Oriole
Marsh Wren
White-throated Swift
Cooper's Hawk
Lazuli Bunting
Bell's Vireo
Yellow-billed Cuckoo
Swainson's Thrush
Blue Grosbeak
Willow Flycatcher
Yellow-breasted Chat
Black-chinned Hummingbird
Hutton's Vireo
Chestnut-backed Chickadee
Canyon Wren
Sora
Yellow-crowned Night-Heron
Barn Owl
Western Screech-Owl
Great Horned Owl
Northern Pygmy-Owl
Spotted Owl
Long-eared Owl
Belted Kingfisher
Downy Woodpecker
Cassin's Kingbird
Phainopepla
Scaly-breasted Munia
Hairy Woodpecker
Canada Goose
Turkey Vulture
Wild Turkey
Western Gull
California Gull
Heermann's Gull
Ring-billed Gull
Glaucous-winged Gull
Killdeer
Barn Swallow
Yellow-rumped Warbler
Black-chinned Sparrow
Brewer's Sparrow
Clay-colored Sparrow
Chipping Sparrow
Northern Cricket Frog
Southern Cricket Frog
Allard's Ground Cricket
Tinkling Ground Cricket
Walker's Ground Cricket
Mexican Black Howler Monkey
Clicker Round-winged Katydid
Common Virtuoso Katydid
Oblong-winged Katydid
Rattler Round-winged Katydid
Say's Trig
American Toad
Yosemite Toad
Great Plains Toad
Fowler's Toad
Houston Toad
Arizona Toad
Oak Toad
Texas Toad
Southern Toad
Woodhouse's Toad
Honey Bee
Protean Shieldback
Coyote
Gray Wolf
Short-winged Meadow Katydid
Slender Meadow Katydid
Columbian Trig
Dog
Pine Barrens Treefrog
Canyon Treefrog
Bird-voiced Treefrog
Cope's Gray Treefrog
Green Treefrog
Pine Woods Treefrog
Barking Treefrog
Squirrel Treefrog
Gray Treefrog
Greenhouse Frog
Engine
Environmental
Carolina Ground Cricket
Confused Ground Cricket
Fireworks
Eastern Narrow-mouthed Toad
Great Plains Narrow-mouthed Toad
Gryllus assimilis
Southern Wood Cricket
Fall Field Cricket
Southeastern Field Cricket
Gun
Human non-vocal
Human vocal
Human whistle
Pacific Chorus Frog
Gulf Coast Toad
American Bullfrog
Green Frog
Pickerel Frog
Wood Frog
Greater Angle-wing
Miogryllus saussurei
False Robust Conehead
Sword-bearing Conehead
Round-tipped Conehead
Robust Conehead
Cuban Ground Cricket
Noise
White-tailed Deer
Fast-calling Tree Cricket
Davis's Tree Cricket
Snowy Tree Cricket
Blackhorned Tree Cricket
Narrow-winged Tree Cricket
Pine Tree Cricket
Four-spotted Tree Cricket
Agile Meadow Katydid
Stripe-faced Meadow Katydid
Handsome Meadow Katydid
Jumping Bush Cricket
Handsome Trig
Power tools
Brimley's Chorus Frog
Spotted Chorus Frog
Spring Peeper
Upland Chorus Frog
Southern Chorus Frog
Little Grass Frog
Ornate Chorus Frog
Strecker's Chorus Frog
Striped Chorus Frog
Common True Katydid
Couch's Spadefoot
Eastern Gray Squirrel
Curve-tailed Bush Katydid
Fork-tailed Bush Katydid
Texas Bush Katydid
Siren
Plains Spadefoot
Eastern Chipmunk
Red Squirrel
White-crowned Sparrow
Double-crested Cormorant
Brown Pelican
Ruby-crowned Kinglet
Ruddy Duck
Townsend's Warbler
Brewer's Blackbird
Blue-gray Gnatcatcher
Black-crowned Night Heron
Willet
Western Flycatcher
Greater Yellowlegs
Hermit Thrush
Least Sandpiper
Whimbrel
Black-necked Stilt
Northern Shoveler
Savannah Sparrow
Golden-crowned Sparrow
Black-bellied Plover
Western Meadowlark
Western Grebe
Bufflehead
Gadwall
Eared Grebe
Brandt's Cormorant
Spotted Sandpiper
Long-billed Curlew
White-tailed Kite
Western Sandpiper
Marbled Godwit
Semipalmated Plover
Sanderling
American Wigeon
Royal Tern
Cedar Waxwing
Loggerhead Shrike
Osprey
Lincoln's Sparrow
Western Tanager
Snowy Plover
American Pipit
American Goldfinch
Cinnamon Teal
Green-winged Teal
Lark Sparrow
Island Scrub-Jay
Surf Scoter
Western Kingbird
Yellow-billed Magpie
Northern Harrier
Caspian Tern
Pelagic Cormorant
Long-billed Dowitcher
Peregrine Falcon
Elegant Tern
Black Turnstone
Clark's Grebe
Ring-necked Duck
Red-necked Phalarope
Rufous-crowned Sparrow
Short-billed Gull
Black-throated Gray Warbler
Lawrence's Goldfinch
Red-breasted Merganser
Fox Sparrow
Red-breasted Nuthatch
Horned Lark
Lesser Scaup
Northern Pintail
Red-breasted Sapsucker
Redhead
Steller's Jay
Mountain Quail
Greater Roadrunner
Cassin's Vireo
Olive-sided Flycatcher
